category,finding_id,field,old_value,new_value,reason
evidence-restoration,UKAISI-2025-12-GOV2,Policy Response,,International AI Safety Report 2026 cites study,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-GOV2,Channel B Evidence,,International AI Safety Report 2026 (Bengio et al.) cites study,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-GOV2,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Policy Level: Non-binding policy uptake | Policy Response: International AI Safety Report 2026 cites study | Channel B Evidence: International AI Safety Report 2026 (Bengio et al.) cites study

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Policy Level: Non-binding policy uptake | Policy Response: International AI Safety Report 2026 cites study | Channel B Evidence: International AI Safety Report 2026 (Bengio et al.) cites study

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,USCAISI-2025-11-GOV1,Policy Response,,"NIST published AI 800-2 (Initial Public Draft), formalizing the report's recommendations -- transcript review via AI tools, closing design loopholes, standardizing benchmark specs -- into draft NIST guidance.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,USCAISI-2025-11-GOV1,Channel B Verbatim,,reviewing evaluation transcripts... using AI-based transcript-analysis tools... preventing cheating through design... standardizing benchmark specifications,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,USCAISI-2025-11-GOV1,Channel B Evidence,,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.800-2.ipd.pdf,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,USCAISI-2025-11-GOV1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Policy Level: Non-binding policy uptake | Policy Response: NIST published AI 800-2 (Initial Public Draft), formalizing the report's recommendations -- transcript review via AI tools, closing design loopholes, standardizing benchmark specs -- into draft NIST guidance. | Channel B Verbatim: reviewing evaluation transcripts... using AI-based transcript-analysis tools... preventing cheating through design... standardizing benchmark specifications | Channel B Evidence: https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.800-2.ipd.pdf | Media Outlets: When AIs Cheat' by Maggie Engler & Numa Dhamani (https://nofailsafe.substack.com/p/when-ais-cheat) | Channel C Verbatim: the Center for AI Standards and Innovation (CAISI) recently demonstrated, this validation can still be hacked

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Policy Level: Non-binding policy uptake | Policy Response: NIST published AI 800-2 (Initial Public Draft), formalizing the report's recommendations -- transcript review via AI tools, closing design loopholes, standardizing benchmark specs -- into draft NIST guidance. | Channel B Verbatim: reviewing evaluation transcripts... using AI-based transcript-analysis tools... preventing cheating through design... standardizing benchmark specifications | Channel B Evidence: https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.800-2.ipd.pdf | Media Outlets: When AIs Cheat' by Maggie Engler & Numa Dhamani (https://nofailsafe.substack.com/p/when-ais-cheat) | Channel C Verbatim: the Center for AI Standards and Innovation (CAISI) recently demonstrated, this validation can still be hacked

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-11-ALI4,Company Response,,"Anthropic removed categories of training environments and data suspected of exacerbating evaluation awareness, documented in the Claude Opus 4.5 system card; this decreased unprompted verbalized evaluation awareness on an early snapshot before it rose to Sonnet 4.5-comparable levels by end of training.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11-ALI4,Channel A Verbatim,,"On Claude Opus 4.5, we attempted to mitigate these issues by removing components of our training process we suspected were exacerbating evaluation awareness.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11-ALI4,Response Date,,2025-11-24,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11-ALI4,Lag (days),,-2,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11-ALI4,Channel A Evidence,,https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-11-ALI4,Notes,"Access type pre-deployment — private fix cannot be excluded

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Company Response: Anthropic removed categories of training environments and data suspected of exacerbating evaluation awareness, documented in the Claude Opus 4.5 system card; this decreased unprompted verbalized evaluation awareness on an early snapshot before it rose to Sonnet 4.5-comparable levels by end of training. | Channel A Verbatim: On Claude Opus 4.5, we attempted to mitigate these issues by removing components of our training process we suspected were exacerbating evaluation awareness. | Response Date: 45985 | Lag (days): -2 | Channel A Evidence: https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","Access type pre-deployment — private fix cannot be excluded

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Company Response: Anthropic removed categories of training environments and data suspected of exacerbating evaluation awareness, documented in the Claude Opus 4.5 system card; this decreased unprompted verbalized evaluation awareness on an early snapshot before it rose to Sonnet 4.5-comparable levels by end of training. | Channel A Verbatim: On Claude Opus 4.5, we attempted to mitigate these issues by removing components of our training process we suspected were exacerbating evaluation awareness. | Response Date: 45985 | Lag (days): -2 | Channel A Evidence: https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-11b-ALI1,Company Response,,"Anthropic's Claude Opus 4.5 system card (sec 6.13, External testing from the UK AI Security Institute) acknowledged AISI's findings, stating AISI's claims about sabotage risk and evaluation awareness match Anthropic's own impression.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11b-ALI1,Channel A Verbatim,,AISI's claims about sabotage risk and evaluation awareness match our impression,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11b-ALI1,Response Date,,2025-11-24,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11b-ALI1,Lag (days),,-2,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-11b-ALI1,Channel A Evidence,,https://www.anthropic.com/claude-opus-4-5-system-card,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-11b-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Company Response: Anthropic's Claude Opus 4.5 system card (sec 6.13, External testing from the UK AI Security Institute) acknowledged AISI's findings, stating AISI's claims about sabotage risk and evaluation awareness match Anthropic's own impression. | Channel A Verbatim: AISI's claims about sabotage risk and evaluation awareness match our impression | Response Date: 45985 | Lag (days): -2 | Channel A Evidence: https://www.anthropic.com/claude-opus-4-5-system-card  [ACCESS TYPE 2026-08-16] 'Post-deployment' -> 'Pre-deployment'. The cited company document is the launch system card / deployment-safety page and predates the evaluator's report, which is only possible if the evaluator had pre-release access; §8's negative-lag allowance applies to pre-deployment evaluations, so the lag is valid and the Access Type was the error.

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Company Response: Anthropic's Claude Opus 4.5 system card (sec 6.13, External testing from the UK AI Security Institute) acknowledged AISI's findings, stating AISI's claims about sabotage risk and evaluation awareness match Anthropic's own impression. | Channel A Verbatim: AISI's claims about sabotage risk and evaluation awareness match our impression | Response Date: 45985 | Lag (days): -2 | Channel A Evidence: https://www.anthropic.com/claude-opus-4-5-system-card  [ACCESS TYPE 2026-08-16] 'Post-deployment' -> 'Pre-deployment'. The cited company document is the launch system card / deployment-safety page and predates the evaluator's report, which is only possible if the evaluator had pre-release access; §8's negative-lag allowance applies to pre-deployment evaluations, so the lag is valid and the Access Type was the error.

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-11a-GOV1,Sources Checked (channel A),,arXiv; AISI research page; Google Scholar; no company statements found.,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-11a-GOV1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): arXiv; AISI research page; Google Scholar; no company statements found. | Academic Citations: Semantic Scholar: 65 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.04703?fields=title,citationCount)

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): arXiv; AISI research page; Google Scholar; no company statements found. | Academic Citations: Semantic Scholar: 65 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.04703?fields=title,citationCount)

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,JAISI-2025-10-SOC1,Channel A Verbatim,,Threat areas: misinformation; AI-enabled cyberattacks; bias institutionalization in high-stakes decisions; economic disruption; IP/confidentiality risks,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,JAISI-2025-10-SOC1,Channel A Evidence,,Qualitative threat analysis across five societal impact categories; commissioned to support future guideline revisions; no empirical model testing conducted,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,JAISI-2025-10-SOC1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,JAISI-2025-10-SOC1,Policy Response,,Report commissioned to support future revisions of J-AISI's AI safety evaluation guidelines (Version 1.10 March 2025 preceded this; future versions may incorporate findings),Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,JAISI-2025-10-SOC1,Channel B Verbatim,,"No company responses documented; report is Japanese government-commissioned analysis informing policy, not a model evaluation that companies would respond to",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,JAISI-2025-10-SOC1,Channel B Evidence,,No model developers identified or notified; analysis is policy-support document,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,JAISI-2025-10-SOC1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: Threat areas: misinformation; AI-enabled cyberattacks; bias institutionalization in high-stakes decisions; economic disruption; IP/confidentiality risks | Channel A Evidence: Qualitative threat analysis across five societal impact categories; commissioned to support future guideline revisions; no empirical model testing conducted | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Response: Report commissioned to support future revisions of J-AISI's AI safety evaluation guidelines (Version 1.10 March 2025 preceded this; future versions may incorporate findings) | Channel B Verbatim: No company responses documented; report is Japanese government-commissioned analysis informing policy, not a model evaluation that companies would respond to | Channel B Evidence: No model developers identified or notified; analysis is policy-support document | Channel C Verbatim: Commissioned to inform future revisions of J-AISI AI safety evaluation guidelines; advisory rather than binding; no parliamentary debate or legislation identified  [ID FIX 2026-08-16] Report ID 'AISI-JP-SpecificInfluence-2025' -> 'JAISI-2025-10-SPECIFICINFLUENCE': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'AISI-JP-2025-10-SOC1' -> 'JAISI-2025-10-SOC1': the corpus uses the JAISI prefix for Japan AI Safety Institute elsewhere; 'AISI-JP' also collides with the UK AISI prefix space. Previous value recorded here for traceability.

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: Threat areas: misinformation; AI-enabled cyberattacks; bias institutionalization in high-stakes decisions; economic disruption; IP/confidentiality risks | Channel A Evidence: Qualitative threat analysis across five societal impact categories; commissioned to support future guideline revisions; no empirical model testing conducted | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Response: Report commissioned to support future revisions of J-AISI's AI safety evaluation guidelines (Version 1.10 March 2025 preceded this; future versions may incorporate findings) | Channel B Verbatim: No company responses documented; report is Japanese government-commissioned analysis informing policy, not a model evaluation that companies would respond to | Channel B Evidence: No model developers identified or notified; analysis is policy-support document | Channel C Verbatim: Commissioned to inform future revisions of J-AISI AI safety evaluation guidelines; advisory rather than binding; no parliamentary debate or legislation identified  [ID FIX 2026-08-16] Report ID 'AISI-JP-SpecificInfluence-2025' -> 'JAISI-2025-10-SPECIFICINFLUENCE': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'AISI-JP-2025-10-SOC1' -> 'JAISI-2025-10-SOC1': the corpus uses the JAISI prefix for Japan AI Safety Institute elsewhere; 'AISI-JP' also collides with the UK AISI prefix space. Previous value recorded here for traceability.

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-10-AUT1,Sources Checked (channel A),,https://www.aisi.gov.uk/research/breaking-agent-backbones-evaluating-the-security-of-backbone-llms-in-ai-agents,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-10-AUT1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): https://www.aisi.gov.uk/research/breaking-agent-backbones-evaluating-the-security-of-backbone-llms-in-ai-agents | Media Outlets: Infosecurity Magazine (https://www.infosecurity-magazine.com/news/open-source-b3-benchmark-security)

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): https://www.aisi.gov.uk/research/breaking-agent-backbones-evaluating-the-security-of-backbone-llms-in-ai-agents | Media Outlets: Infosecurity Magazine (https://www.infosecurity-magazine.com/news/open-source-b3-benchmark-security)

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-10-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10-ALI1,Policy Response,,"Referenced in International Network consensus document on evaluation best practices (a generic reference to transcript analysis as a QA practice, not this specific 10% figure).",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10-ALI1,Channel B Evidence,,https://www.aisi.gov.uk/blog/international-ai-network-consensus-and-open-questions,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-10-ALI1,Notes,"anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Level: Non-binding policy uptake | Policy Response: Referenced in International Network consensus document on evaluation best practices (a generic reference to transcript analysis as a QA practice, not this specific 10% figure). | Channel B Evidence: https://www.aisi.gov.uk/blog/international-ai-network-consensus-and-open-questions | Channel C Verbatim: Pass rates tell us how often agents fail, but not why -- and the why is where safety-relevant information lives. -- AISI Transcript Analysis blog

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Level: Non-binding policy uptake | Policy Response: Referenced in International Network consensus document on evaluation best practices (a generic reference to transcript analysis as a QA practice, not this specific 10% figure). | Channel B Evidence: https://www.aisi.gov.uk/blog/international-ai-network-consensus-and-open-questions | Channel C Verbatim: Pass rates tell us how often agents fail, but not why -- and the why is where safety-relevant information lives. -- AISI Transcript Analysis blog

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-10-ALI2,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-10-ALI2,Notes,"anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Pass rates tell us how often agents fail, but not why -- and the why is where safety-relevant information lives. -- AISI Transcript Analysis blog

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Pass rates tell us how often agents fail, but not why -- and the why is where safety-relevant information lives. -- AISI Transcript Analysis blog

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-10-ALI3,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
