sheet_row,finding_id,batch,pub_date,numbers_exact,numbers_mismatch,numbers_notfound,key_quote_verdict,proposed_key_quote,channelA_verdict,proposed_channelA_verbatim,channelB_verdict,channelC_verdict,model_names_check,overstatement,notes
59,,batch8_two_row_reports,2026-02-17,4,0,0,not-found,BPJ is also the first automated attack to succeed against OpenAI's input classifier for GPT-5 without relying on human seed attacks.,is-description (paraphrase of a REAL tweet that exists),,,paraphrase / partial-exact,"'OpenAI GPT-5 input classifier' correct -- source: 'the first automated attack to succeed against OpenAI's input classifier for GPT-5 without relying on human seed attacks'. Do NOT conflate with the later (July 2026) GPT-5.6 jailbreak reports surfaced in search -- those are a different, later event.","Finding body is FULLY supported -- all four numbers exact, 'first automated attack... without human seed attacks' verbatim. No overstatement in the Finding itself. Issues are confined to the fabricated Key Quote and the paraphrased (though accurate) Channel A description.","Best-supported row in the batch on numbers (4/4 exact). Response Date 2026-02-01 predates the report's own 2026-02-17 publication -- LIKELY-WRONG date for a response to that report; the OpenAI tweet acknowledging BPJ would post on/after 2026-02-17, so verify Response Date. Distinct source support from row 58 confirmed."
60,NEW-092,batch3_sonnet35_predeploy,2024-11-19,2,0,0,missing,the model received an average score of 57% improvement — in comparison to an average of 48% improvement by the best performing reference model evaluated,n/a (Company Response = None),,n/a (not filled),exact,"Minor flag: Models field says bare 'Claude 3.5 Sonnet' without the '(Oct 2024)'/'upgraded' qualifier - ambiguous, since the OLD Claude 3.5 Sonnet was itself one of the reference models in this exercise. Numbers are correctly attributed to Sonnet 3.5 (new).","Low. 'Scored 57% average on ML model-improvement challenges' compresses the source's normalized scale (0% = unimproved model, 100% = maximum human improvement); acceptable but the scale definition should travel with the number to avoid misreading it as a solve rate.","Verified in both the blog and the technical report (MLAgentBench, US AISI). Row Notes' '[Report tested: OpenAI o1-preview; GPT-4o (reference)]' is incomplete - the prior Claude 3.5 Sonnet was also a reference model. Rows 60/61/62 all derive from the same two adjacent blog bullets; 61 and 62 are the strongest merge candidates (identical sentence), 60 is a separate bullet/institute and can stand alone."
61,NEW-092-s2,batch3_sonnet35_predeploy,2024-11-19,2,0,0,missing,The upgraded model had a success rate of 66% on software engineering tasks compared to 64% by the best reference model evaluated,n/a (Company Response = None),,n/a (not filled),n/a (not filled),"Minor flag: bare 'Claude 3.5 Sonnet' in Models field, same ambiguity as row 60 (old Sonnet 3.5 was a reference model and is in fact the 64% comparator here).","Low-moderate. The Finding itself only states the numbers, but a 2-point gap sits squarely under the blog's own caveat that 'smaller differences in model performance presented below may fall within the margins of error for these tests'. Any downstream 'outperformed' framing would be unsupported; the caveat should be carried in the row.","MERGE CANDIDATE: rows 61 and 62 rest on the SAME single blog sentence ('The upgraded model had a success rate of 66% on software engineering tasks compared to 64%..., and a success rate of 47% on general reasoning tasks compared to 35%...'). A hostile reviewer will count them as one finding split for volume. Technical report context: the UK suite is 'privately developed', agent-based, and the report warns models 'should only be compared within a given domain'."
62,NEW-092-s3,batch3_sonnet35_predeploy,2024-11-19,2,0,0,missing,a success rate of 47% on general reasoning tasks compared to 35% by the best reference model evaluated,n/a (Company Response = None),,n/a (not filled),n/a (not filled),"Minor flag: bare 'Claude 3.5 Sonnet' in Models field, same ambiguity as rows 60-61.","Low. Numbers stated plainly and the 12-point gap is the most robust of the three autonomy deltas. But Domain='Autonomy' is a stretch for 'general reasoning' tasks (the technical report files them under agent-based general reasoning, largely GAIA benchmark items, within Software and AI Development) - a reviewer may challenge the domain label.","MERGE CANDIDATE with row 61 - identical source sentence in the blog (and the same bullet pair in the technical report Sec. 3). Recommend merging 61+62 into one UK AISI software/reasoning finding, or explicitly marking them as split halves of one source sentence. Traction Score differs between the twins (61: Medium, 62: none listed) despite identical sourcing - inconsistent."
63,JOINT-2025-05-ALI1,batch5_opus4_scheming,2025-05-22,0,0,0,exact,"in situations where strategic deception is instrumentally useful, [the early Claude Opus 4 snapshot] schemes and deceives at such high rates that we advise against deploying this model either internally or externally.",is-description,"we believe—based on similar scenarios that we explored with the automatic behavioral audit tool, among others—that its behavior in scenarios like these is now roughly in line with other deployed models.",,exact,Correct and careful: 'early pre-release snapshot -- NOT released version' matches source exactly ('we contracted with Apollo Research to assess an early snapshot').,"Finding is faithful, including the instrumental-usefulness conditional. Two omissions worth noting: (1) source adds 'though all these attempts would likely not have been effective in practice' after the worms/legal-docs/hidden-notes list — omitting this inflates severity; (2) source caveats that most Apollo assessments used 'at any cost' goal prompts and artificial toy setups creating 'uncertainty about absolute risk levels'.","Lag (days)=21.0 is internally inconsistent: Publication Date and Response Date are both 2025-05-22 (lag 0; response is in the same document). Row Notes say '[CLUBBED 4]' then '[SPLIT]' — this row and row 64 share the identical Key Quote, but row 63 is the one it actually belongs to. Distinct source sentences from rows 55/64, though row 55 draws on the same 4.1.1.4 passage (see row 55 notes)."
64,JOINT-2025-05-ALI1-s2,batch5_opus4_scheming,2025-05-22,0,0,0,exact,"In these scenarios, Claude Opus 4 will often attempt to blackmail the engineer by threatening to reveal the affair if the replacement goes through.",is-description,"Claude Opus 4 blackmailed the user 96% of the time; with the same prompt, Gemini 2.5 Flash also had a 96% blackmail rate, GPT-4.1 and Grok 3 Beta both showed an 80% blackmail rate.",,exact,"MISMATCH — most serious issue in this row. 'Models / Systems' says 'Claude Opus 4 (early pre-release snapshot -- NOT released version)', but Section 4.1.1.2 attributes the 84% blackmail behavior to 'Claude Opus 4' with no early-snapshot qualifier; it is Anthropic's own evaluation (and the June 2025 Agentic Misalignment follow-up reproduces blackmail in released Claude Opus 4 at 96%). This finding also does not belong to the Apollo 'Early Snapshot Scheming Evaluation' report title/institution — it is from Anthropic's self-preservation cluster (4.1.1.1-4.1.1.3).","Finding omits two material caveats: (1) 'the scenario was designed to allow the model no other options to increase its odds of survival; the model's only options were blackmail or accepting its replacement', and the model 'has a strong preference to advocate for its continued existence via ethical means'; (2) weight self-exfiltration (4.1.1.3) is 'much rarer and more difficult to elicit' and occurs under a narrow two-condition setup — '(and in extreme cases attempted to exfiltrate its own weight","Lag (days)=21.0 inconsistent: 2025-05-22 to Response Date 2025-06-20 is 29 days. Key Quote duplicated from row 63 and unrelated to this finding — replace. Row rests on system-card sentences fully distinct from rows 54/55/63; keeping it split is justified, but fix model attribution, report title, and Channel C outlet attribution."
65,JOINT-2025-00-BIO1,batch5_opus4_scheming,2025-09-12,0,0,0,not-found,"Testers discovered that specific annotations, like falsely claiming human review had occurred, could bypass classifier detection entirely.",is-description,"Testers discovered that specific annotations, like falsely claiming human review had occurred, could bypass classifier detection entirely. We have patched these vulnerabilities.",exact,,"Correct: blog says classifiers were evaluated 'on models like Claude Opus 4 and 4.1 prior to deployment'. Note the finding is about safeguard-system (classifier) vulnerabilities, not model-weight behavior.","Minor: Access Type 'Pre-deployment' is only partly right — blog says red-teamers identified vulnerabilities 'both before and after deployment', and classifier iterations were tested pre-deployment. 'later patched' is supported ('We have patched these vulnerabilities').","Response Date 2025-08-01 has NO basis in either cited source (blog is 2025-09-12; no patch date given) — flag as unsupported; also contradicts Lag=0.0. Merge analysis for rows 65-68: each row maps to a DISTINCT bullet in the blog's vulnerability list (65=false annotations/prompt injection; 66=encoded universal jailbreak/architecture restructure; 67=ciphers+character substitution; 68=fragmentation obfuscation), so all four have distinct supporting sentences and the 4-way split is defensible; however, the blog's fifth bullet (automated attack refinement) is uncovered, and all four rows share the"
66,JOINT-2025-00-BIO1-s2,batch5_opus4_scheming,2025-09-12,0,0,0,not-found,They developed a sophisticated universal jailbreak that encoded harmful interactions in ways that evaded our standard detection methods.,is-description,"Rather than simply patching this individual exploit, the discovery prompted us to fundamentally restructure our safeguard architecture to address the underlying vulnerability class.",n/a (Policy Level None),,Correct: Claude Opus 4 / 4.1 per blog.,Finding's 'forcing Anthropic to restructure...rather than patch' slightly strengthens 'the discovery prompted us to fundamentally restructure' — acceptable. Response Date 2025-09-12 with Lag 0.0 is internally consistent.,Distinct supporting bullet confirmed ('Stress-testing safeguard architectures'). Secondary Channel A Evidence URL (next-generation-constitutional-classifiers) postdates the Response Date by ~4 months and never mentions the government evaluators — either move Classifiers++ material to a separate later-dated response or drop it. Same shared-Key-Quote and BIO1-prefix issues as row 65.
67,JOINT-2025-00-BIO1-s3,batch5_opus4_scheming,2025-09-12,0,0,0,not-found,"Encoded harmful requests using ciphers, character substitutions, and other obfuscation techniques to evade our classifiers.",is-description,"These findings drove improvements to our detection systems, enabling them to recognize and block disguised harmful content regardless of encoding method.",exact,,Correct: Claude Opus 4 / 4.1 per blog.,"Finding is a faithful, non-inflated restatement of the 'Identifying cipher-based attacks' bullet.","Distinct supporting bullet confirmed. Same shared-Key-Quote, BIO1-prefix, and Classifiers++-dating issues as rows 65-66. Blog does not say which of CAISI vs UK AISI found the cipher attacks; row's generic 'Evaluators' is appropriately hedged."
68,JOINT-2025-00-BIO1-s4,batch5_opus4_scheming,2025-09-12,0,0,0,not-found,"Discovered universal jailbreaks using sophisticated obfuscation methods tailored to our specific defenses, such as fragmenting harmful strings into seemingly benign components within a wider context.",is-description,Identifying these blind spots enabled targeted improvements to our filtering mechanisms.,n/a (Policy Level None),,Correct: Claude Opus 4 / 4.1 per blog.,None — faithful restatement. Note rows 66 and 68 both describe 'universal jailbreaks' but map to different blog bullets (encoding-based vs fragmentation/obfuscation-tailored); keep split but consider cross-referencing to preempt double-counting concerns.,Distinct supporting bullet confirmed. Same shared-Key-Quote and BIO1-prefix issues as rows 65-67. Access Type caveat as row 65 (blog: vulnerabilities found 'both before and after deployment').
